name,Sex,Team,Sport,Medal,Medal_Count
Jeremy Matthew Wariner,M,United States,Athletics,Gold,3
Jin Seon-Yu,F,South Korea,Short Track Speed Skating,Gold,3
Jodie Clare Henry,F,Australia,Swimming,Gold,3
"John Brenden ""Jack"" Kelly, Sr.",M,United States,Rowing,Gold,3
John Joseph Flanagan,M,United States,Athletics,Gold,3
"Joseph ""Joe"" Jackson",M,United States,Shooting,Gold,3
"Joshua Clark ""Josh"" Davis",M,United States,Swimming,Gold,3
"Karin Enke-Kania (-Busch-, -Richter)",F,East Germany,Speed Skating,Gold,3
Karl Alfred Markus Schwarzmann,M,Germany,Gymnastics,Gold,3
Karl Telford Frederick,M,United States,Shooting,Gold,3
Katalin Kovcs,F,Hungary,Canoeing,Gold,3
"Katarina ""Kati"" Wilhelm",F,Germany,Biathlon,Gold,3
"Katherine May ""Katie"" Smith",F,United States,Basketball,Gold,3
Kathleen Joan Heddle,F,Canada,Rowing,Gold,3
Katinka Hossz,F,Hungary,Swimming,Gold,3
Katja Seizinger (-Weber),F,Germany,Alpine Skiing,Gold,3
Kay Bluhm,M,Germany,Canoeing,Gold,3
Kenenisa Bekele Beyecha,M,Ethiopia,Athletics,Gold,3
Kerri Lee Walsh Jennings,F,United States-1,Beach Volleyball,Gold,3
Kevin Kuske,M,Germany-1,Bobsleigh,Gold,3
Ki Bo-Bae,F,South Korea,Archery,Gold,3
Kim Gi-Hun,M,South Korea,Short Track Speed Skating,Gold,3
Kim St-Pierre,F,Canada,Ice Hockey,Gold,3
"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,United States,Shooting,Gold,3
Klaus Dibiasi,M,Italy,Diving,Gold,3
Klavdiya Sergeyevna Boyarskikh,F,Soviet Union,Cross Country Skiing,Gold,3
Knut Holmann,M,Norway,Canoeing,Gold,3
Kohei Uchimura,M,Japan,Gymnastics,Gold,3
Konrad Frey,M,Germany,Gymnastics,Gold,3
Kristin Ann Armstrong (-Savola),F,United States,Cycling,Gold,3
LaShawn Merritt,M,United States,Athletics,Gold,3
Laura Kay Berg,F,United States,Softball,Gold,3
Leah Marie O'Brien-Amico,F,United States,Softball,Gold,3
Leisel Marie Jones,F,Australia,Swimming,Gold,3
"Lemuel Clarence ""Bud"" Houser",M,United States,Athletics,Gold,3
Leon tukelj,M,Yugoslavia,Gymnastics,Gold,3
Leslie Walter Claudius,M,India,Hockey,Gold,3
Li Ning,M,China,Gymnastics,Gold,3
Li Xiaoxia,F,China,Table Tennis,Gold,3
Liliana Gafencu,F,Romania,Rowing,Gold,3
"Lillian Debra ""Pokey"" Watson (-Richardson)",F,United States,Swimming,Gold,3
Lisa M. Fernandez (-Lujan),F,United States,Softball,Gold,3
Lori D. Harrigan (-Mack),F,United States,Softball,Gold,3
Louis Verrant Gabriel Le Bailly de la Falaise,M,France,Fencing,Gold,3
Lszl Papp,M,Hungary,Boxing,Gold,3
Lszl Rajcsnyi,M,Hungary,Fencing,Gold,3
Ludger Beerbaum,M,Germany,Equestrianism,Gold,3
Luigi Maiocco,M,Italy,Gymnastics,Gold,3
Lyubov Ivanovna Yegorova,F,Russia,Cross Country Skiing,Gold,3
Lyubov Ivanovna Yegorova,F,Unified Team,Cross Country Skiing,Gold,3
Lyudmila Iosifovna Khvedosyuk-Pinayeva,F,Soviet Union,Canoeing,Gold,3
Ma Long,M,China,Table Tennis,Gold,3
"Malvin Groston ""Mal"" Whitfield",M,United States,Athletics,Gold,3
Marc Gagnon,M,Canada,Short Track Speed Skating,Gold,3
"Maria Aaltje ""Marianne"" Timmer",F,Netherlands,Speed Skating,Gold,3
Maria Hfl-Riesch,F,Germany,Alpine Skiing,Gold,3
Marie-Jos Juliana Prec (Hontas-),F,France,Athletics,Gold,3
Mariya Aleksandrovna Kiselyova,F,Russia,Synchronized Swimming,Gold,3
Mariya Igorevna Gromova,F,Russia,Synchronized Swimming,Gold,3
Marja-Liisa Kirvesniemi-Hmlinen,F,Finland,Cross Country Skiing,Gold,3
Mark Kirchner,M,Germany,Biathlon,Gold,3
Marlenis Costa Blanco,F,Cuba,Volleyball,Gold,3
Marnie Elizabeth McBean,F,Canada,Rowing,Gold,3
"Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)",F,United States,Swimming,Gold,3
Martina Sblkov,F,Czech Republic,Speed Skating,Gold,3
Mary Terstegge Meagher (-Plant),F,United States,Swimming,Gold,3
"Matthew Morgan ""Matt"" Ryan",M,Australia,Equestrianism,Gold,3
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,France,Tennis,Gold,3
Meghan Christina Agosta (-Marciano),F,Canada,Ice Hockey,Gold,3
"Melissa Louise Belote (-Hamlin, -Ripley)",F,United States,Swimming,Gold,3
"Michael Allen ""Mike"" Wall",M,United States,Swimming,Gold,3
Michael Greis,M,Germany,Biathlon,Gold,3
Michael Gro,M,West Germany,Swimming,Gold,3
Michael Jung,M,Germany,Equestrianism,Gold,3
"Michael Steward ""Mike"" Heath",M,United States,Swimming,Gold,3
Michelle Marie Smith (-De Bruin),F,Ireland,Swimming,Gold,3
Mijan Lpez Nez,M,Cuba,Wrestling,Gold,3
Misty Erie May-Treanor,F,United States-1,Beach Volleyball,Gold,3
Naim Sleymanolu,M,Turkey,Weightlifting,Gold,3
